,Rank,Country/Region,Electricity consumption (GWÂ·h/yr),Year of data,Source,Population,As of,Average electrical energy per capita (kWh per person per year),Average power per capita (watts per person)
154,155,Benin,1188,2018 est.,EIA,11801150,2019,101.0,11.0
155,156,Curacao,900.00,2008 est.,EIA,157540,2019,5713.0,652.0
156,157,"Congo, Republic of the",2018,2018 est.,EIA,5380510,2019,375.0,43.0
157,158,Guinea,1983,2018 est.,EIA,12771250,2019,155.0,18.0
158,159,Barbados,990,2018 est.,EIA,287020,2019,3450.0,394.0
159,160,Mauritania,882,2018 est.,EIA,4525700,2019,195.0,22.0
160,161,Lesotho,902,2018 est.,EIA,2125270,2019,424.0,48.0
161,162,Guyana,851,2018 est.,EIA,782770,2019,1087.0,124.0
162,163,Fiji,997,2018 est.,EIA,889950,2019,1120.0,128.0
163,164,Aruba,899,2018 est.,EIA,106310,2019,8457.0,965.0
164,165,French Polynesia,544,2018 est.,EIA,279290,2019,1946.0,222.0
165,166,South Sudan,529,2018 est.,EIA,11062110,2019,48.0,5.0
166,167,Jersey,600.00,2004 est.,EIA,98069,2016,6425.0,733.0
167,168,Bermuda,560,2018 est.,EIA,63920,2019,8759.0,999.0
168,169,Cayman Islands,629,2019 est.,EIA,64950,2019,9687.0,1105.0
169,170,U.S. Virgin Islands,553,2018 est.,EIA,106630,2019,5188.0,592.0
170,171,Marshall Islands,562.40,2014 est.,EIA,58790,2019,9566.0,1091.0
171,172,Andorra,500.00,2012 est.,EIA,77140,2019,6482.0,739.0
172,173,Rwanda,764,2018 est.,EIA,12626950,2019,61.0,7.0
173,174,Burundi,339,2018 est.,EIA,11530580,2019,29.0,3.0
174,175,Belize,568,2018 est.,EIA,390350,2019,1454.0,166.0
175,176,Djibouti,381,2018 est.,EIA,973560,2019,391.0,45.0
176,177,Haiti,359,2018 est.,EIA,11263080,2019,32.0,4.0
177,178,Seychelles,403,2018 est.,EIA,97630,2019,4125.0,471.0
178,179,Somalia,323,2018 est.,EIA,15442910,2019,21.0,2.0
179,180,Saint Lucia,352,2018 est.,EIA,182790,2019,1924.0,219.0
180,181,Antigua and Barbuda,314,2018 est.,EIA,97120,2019,3237.0,369.0
181,182,Cabo Verde,455,2018 est.,EIA,549930,2019,827.0,94.0
182,183,Eritrea,408,2018 est.,EIA,3213970,2011,127.0,14.0
183,184,Faroe Islands,316,2019 est.,EIA,48680,2019,6492.0,741.0
184,185,Gambia,291,2018 est.,EIA,2347710,2019,124.0,14.0
185,186,Greenland,496,2018 est.,EIA,56230,2019,8812.0,1005.0
186,187,Liberia,348,2018 est.,EIA,4937370,2019,70.0,8.0
187,188,Maldives,565,2018 est.,EIA,530950,2019,1064.0,121.0
188,189,Northern Mariana Islands,200,2012 est.,EIA,57220,2019,3495.0,399.0
189,190,Chad,213,2018 est.,EIA,15946880,2019,13.0,2.0
190,191,Saint Kitts and Nevis,184,2018 est.,EIA,52830,2019,3478.0,397.0
191,192,Central African Republic,140,2018 est.,EIA,4745190,2019,30.0,3.0
